SampleID	Location	Month	MeaTemperature	MeapH	MeaElectricalConductivity	MeaDO	ExpSS	ExpTN	ExpTP	ExpTOC	ExpNH3N	ExpNO3N	ExpPO4P	ExpChlA	ExpGeosmin	Exp2MIB	ExpTotalPlankton
04GJ	GJ	4	14.9	8.3	238	10.4	4.3	2.783	0.048	2.8	0.223	1.986	0.004	14	0.042	0.001	4033
05GJ	GJ	5	17.5	8.3	219	10.3	5.7	2.937	0.061	2.8	0.163	2.433	0.02	14.9	0.067	0.001	4715
06GJ	GJ	6	23.9	8.2	202	9.3	7.1	2.459	0.068	3	0.179	1.896	0.021	17.4	0.016	0.001	7710
07GJ	GJ	7	23.4	7.3	164	8.4	58.9	3.046	0.235	4.2	0.316	2.182	0.09	14.9	0.006	0.003	2192
08GJ	GJ	8	27.1	7.8	231	8	16.8	3.268	0.08	2.7	0.055	2.792	0.036	5.5	0.005	0.009	2794
09GJ	GJ	9	22.2	7.6	233	8.5	5.4	3.477	0.063	2	0.048	3.141	0.044	2.3	0.005	0.003	1638
10GJ	GJ	10	17.3	8.3	180	11.7	9.4	3.404	0.094	3.3	0.254	2.327	0.011	80.3	0.064	0.191	41206
11GJ	GJ	11	10.5	7.5	171	10.7	10.7	3.398	0.1	2.7	0.28	2.585	0.031	26.7	0.007	0.006	6172
04UA	UA	4	13.5	8.3	102	11.7	2.7	1.645	0.014	1.9	0.139	1.25	0	7	0.013	0	7780
05UA	UA	5	16.3	8.5	110	11.4	3.6	1.523	0.015	2.6	0.065	1.24	0.002	8.2	0.015	0	5365
06UA	UA	6	22.9	8.8	98	10.8	3.2	1.373	0.015	2.2	0.133	0.893	0.004	11.7	0.015	0	8656
07UA	UA	7	23.6	8.5	99	11	3.7	1.298	0.017	1.9	0.022	1.067	0.006	14.1	0.004	0.011	10520
08UA	UA	8	25.5	8.6	103	9.5	5	1.269	0.016	2.2	0.022	1.062	0	18.6	0.012	0.053	20897
09UA	UA	9	24.8	8.7	107	11.1	4.8	1.35	0.015	2.7	0.03	0.976	0	18.3	0.022	0.09	31219
10UA	UA	10	17.4	7.5	101	10	3.8	1.428	0.012	2	0.035	1.204	0.002	14.9	0.014	0.093	16210
11UA	UA	11	12.1	7.4	102	10.4	3	1.675	0.016	1.9	0.094	1.465	0.008	9.2	0.007	0.011	3924
04CP	CP	4	13	7.9	111	11.3	3.1	1.752	0.014	1.9	0.033	1.521	0.001	5.4	0.008	0	4180
05CP	CP	5	16.7	7.9	116	10.6	3.3	1.698	0.016	2.5	0.036	1.48	0.004	5.4	0.008	0	3340
06CP	CP	6	23.1	8	133	10.1	2.1	1.436	0.015	1.9	0.017	1.239	0.003	5.4	0.005	0	3624
07CP	CP	7	22	7.7	103	9.5	6.8	1.778	0.034	2	0.022	1.513	0.007	16.7	0.004	0.005	4460
08CP	CP	8	28.1	8.1	119	9.8	3.1	1.571	0.021	2.2	0.014	1.305	0.003	10.8	0.01	0.03	5409
09CP	CP	9	24.4	8.1	120	10	3.3	1.551	0.02	2.3	0.011	1.324	0.001	14.8	0.015	0.044	5641
10CP	CP	10	18.9	7.7	124	10.1	2.2	1.667	0.014	1.7	0.045	1.457	0.001	10.1	0.007	0.112	6034
11CP	CP	11	12.1	7.8	105	10.5	2.7	2.007	0.018	1.8	0.031	1.757	0.003	10.8	0.007	0.025	5304
04SB	SB	4	12.9	7.9	118	10.6	2.8	1.795	0.015	1.9	0.036	1.602	0.003	5.1	0.006	0	3533
05SB	SB	5	16.2	7.8	119	10	3.6	1.821	0.019	2	0.03	1.573	0.003	6.9	0.006	0	4415
06SB	SB	6	21.5	7.8	128	8.9	6.7	1.492	0.032	1.9	0.039	1.199	0.006	5.9	0.005	0.001	3148
07SB	SB	7	22	7.3	98	8.6	10.2	1.731	0.038	2.2	0.029	1.538	0.006	9.5	0.005	0.003	5040
08SB	SB	8	26.6	7.8	114	8.4	2.7	1.653	0.022	2	0.021	1.398	0.003	8.3	0.006	0.025	5013
09SB	SB	9	23.9	7.4	110	8.3	3.5	1.645	0.024	2	0.015	1.388	0.002	12.2	0.008	0.024	3937
10SB	SB	10	18.7	7.3	117	8.8	2.4	1.78	0.016	1.9	0.024	1.568	0.001	7.9	0.005	0.079	3145
11SB	SB	11	11.8	7.4	124	10	8.3	2.109	0.037	1.9	0.039	1.754	0.008	6.8	0.006	0.019	2108
04P2	P2	4	13	8.2	216	9.8	4.2	2.081	0.022	2.5	0.044	1.785	0.002	13.6	0.009	0.002	9067
05P2	P2	5	15.7	8	195	9	5.5	2.072	0.027	2.6	0.057	1.77	0.003	9.7	0.007	0.001	6265
06P2	P2	6	20.8	7.7	203	8	4.1	1.704	0.025	2.7	0.047	1.391	0.002	13.6	0.009	0.002	8312
07P2	P2	7	21.4	7.4	166	7.8	9.1	2.162	0.059	2.6	0.034	1.938	0.024	11.5	0.004	0.003	5950
08P2	P2	8	24.7	7.5	150	7.9	4.8	1.916	0.045	2.7	0.035	1.564	0.014	16.7	0.016	0.015	9383
09P2	P2	9	22.9	7.5	186	9	5	2.057	0.039	2.3	0.016	1.784	0.014	14.5	0.006	0.014	6056
10P2	P2	10	19	7.7	203	9.4	4	2.226	0.031	2.2	0.016	1.91	0.005	19	0.003	0.028	6953
11P2	P2	11	12.4	7.6	203	10	4.7	2.298	0.031	2.1	0.024	2.084	0.009	11	0.004	0.011	4206
